input,output
"ParacetmolTablets p650mg","ParacetamolTablets p650mg"
"ParacetamolTablets eee","ParacetamolTablets"
"paracetemol tblets 500mg","Paracetamol tblets 500mg"

"IbuprofinTab200mg","IbuprofenTab200mg"
"ibuprofenn tablets200mg","Ibuprofen tablets200mg"

"AmoxycillinCap500mg","AmoxicillinCap500mg"
"amoxicilin caps500mg","Amoxicillin caps500mg"

"CetrizineTab10mg","CetirizineTab10mg"
"cetirizne tablets","Cetirizine tablets"

"PantaprazoleTab40mg","PantoprazoleTab40mg"
"pantoprazol tablets","Pantoprazole tablets"

"MetformnTab500mg","MetforminTab500mg"
"AmlodipinTab5mg","AmlodipineTab5mg"
